"","Year","Round","Seed1","Score1","Team1","Team2","Score2","Seed2","W1","L1","Pts1","Opp1","MOV1","SOS1","OSRS1","DSRS1","SRS1","W2","L2","Pts2","Opp2","MOV2","SOS2","OSRS2","DSRS2","SRS2"
"122",2006,1,7,52,"California","NC State",58,10,20,11,68.6,64.5,4.13,8.84,4.05,8.25,12.31,22,10,74.5,67.4,7.06,5.63,7.62,5.08,12.7
"123",2006,1,4,73,"Kansas","Bradley",77,13,25,8,75.2,61.3,13.82,7.6,9.07,10.95,20.02,22,11,71.5,65.1,6.39,5.38,7.66,4.12,11.78
"124",2006,1,7,85,"Marquette","Alabama",90,10,20,11,75,69.4,5.65,8.16,9.9,1.43,11.33,18,13,70.3,67.5,2.71,8.08,6.19,4.6,10.79
"125",2006,1,6,65,"Michigan St","George Mason",75,11,22,12,74.1,68.6,5.47,7.27,9.98,2.26,12.24,27,8,69.4,60.1,9.34,2.77,1.91,10.21,12.11
"126",2006,1,5,79,"Nevada","Montana",87,12,27,6,72.8,63.7,9.03,2.26,5.11,5.05,10.16,24,7,79,71,7.97,-0.96,6.6,-1.75,4.86
"127",2006,1,6,74,"Oklahoma","Wisconsin Milwaukee",82,11,20,9,68.8,63.7,5.1,6.79,4.42,7.47,11.89,22,9,74,66.5,7.52,1.47,5.71,1.94,7.65
"128",2007,1,6,64,"Notre Dame","Winthrop",74,11,24,8,81,68,13,4.97,15.72,1.22,16.94,29,5,74.9,61.4,13.44,-1.2,0.71,8.46,9.17
"129",2007,1,6,77,"Duke","VCU",79,11,22,11,70.4,62,8.36,10.49,5.87,12.98,18.85,28,7,75,65.7,9.37,0.2,7.77,1.73,9.5
"130",2008,1,4,62,"Vanderbilt","Siena",83,13,26,8,80,74.6,5.41,5.54,12.11,-1.16,10.96,23,11,76.9,71.2,5.68,-1.62,5.61,-1.55,4.06
"131",2008,1,5,69,"Clemson","Villanova",75,12,24,10,79.2,69.8,9.44,9.08,12.37,5.68,18.05,22,13,72.8,69.5,3.31,7.69,6.92,4.08,11
"132",2008,1,6,67,"USC","Kansas St",80,11,21,12,69,63.7,5.3,8.59,5.35,8.54,13.89,21,12,78,68.9,9.09,7.79,12.61,3.17,15.79
"133",2008,1,7,76,"Gonzaga","Davidson",82,10,25,8,76.5,63.8,12.67,2.15,9.29,5.52,14.81,29,7,77.9,63.2,14.69,1.66,8.49,5.44,13.93
