Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,Duke,ACC,32,4,85.6,64.1,21.5,9.32,18.44,11.12,29.55,1998
2,North Carolina,ACC,34,4,81.9,65.6,16.29,10.38,17.14,9.53,26.67,1998
3,Arizona,Pac-10,30,5,90.8,74.6,16.2,8.36,22.24,2.32,24.56,1998
4,Kentucky,SEC (East),35,4,80.1,67,13.1,9.85,13.42,9.53,22.95,1998
5,Kansas,Big 12,35,4,84.6,67.4,17.23,6.51,15.49,7.34,22.83,1998
6,TCU,WAC (Pacific),27,6,97.2,77.9,19.36,2.7,25.89,-3.6,22.29,1998
7,Connecticut,Big East (Big East 6),32,5,76.6,63.9,12.78,7.89,9.33,11.35,20.67,1998
8,Purdue,Big Ten,28,8,83.7,72.3,11.44,9.23,17.01,3.66,20.67,1998
9,Xavier,A-10 (West),22,8,83.5,68.8,14.7,4.76,15.11,4.34,19.46,1998
10,Stanford,Pac-10,30,5,80.2,68.3,11.91,8.12,10.95,8,18.95,1998
11,Maryland,ACC,21,11,78.8,72.1,6.69,12.1,13.8,4.99,18.79,1998
12,Michigan,Big Ten,25,9,77.4,67.2,10.18,9.64,10.38,8.41,18.79,1998
13,Michigan State,Big Ten,22,8,73.4,64,9.4,9.25,7.43,11.22,18.65,1998
14,Cincinnati,CUSA (American),27,6,76.1,63.2,12.88,4.97,7.93,9.92,17.85,1998
15,Iowa,Big Ten,20,11,80.2,67.5,12.74,6.05,12.08,5.17,17.25,1998
16,Mississippi,SEC (West),22,7,80.5,68.1,12.41,7.07,12.39,4.84,17.22,1998
17,Clemson,ACC,18,14,72.2,65.3,6.84,10.33,6.4,10.77,17.17,1998
18,Utah,WAC (Mountain),30,4,70,57.6,12.41,4.9,2.74,14.35,17.08,1998
19,West Virginia,Big East (Big East 6),24,9,80.2,69.2,11.06,6.95,12.02,4.22,16.24,1998
20,Arkansas,SEC (West),24,9,82.3,72.4,9.91,5.79,15.08,1.09,16.17,1998
21,Illinois,Big Ten,23,10,69.7,63.5,6.24,8.97,3.44,11.78,15.21,1998
22,New Mexico,WAC (Mountain),24,8,75.7,65.9,9.81,5.17,7.24,7.74,14.98,1998
23,Oklahoma State,Big 12,22,7,78.9,69.2,9.66,4.64,6.65,7.65,14.3,1998
24,Indiana,Big Ten,20,12,76.8,73.3,3.47,10.71,12.02,2.17,14.18,1998
25,Georgia,SEC (East),20,15,75.8,71.7,4.09,9.03,8.07,5.04,13.11,1998
26,UCLA,Pac-10,24,9,83.1,80.4,2.7,10.99,16.14,-3.12,13.03,1998
27,Florida State,ACC,18,14,71.5,69.3,2.16,10.78,5.71,7.23,12.93,1998
28,Georgia Tech,ACC,19,14,76.3,72.2,4.12,8.7,10.06,2.76,12.82,1998
29,Rhode Island,A-10 (East),25,9,77.7,71.6,6.15,6.42,11.01,1.55,12.57,1998
30,South Carolina,SEC (East),23,8,71.3,67.4,3.97,8.77,4.81,7.7,12.51,1998
31,Temple,A-10 (East),21,9,65.7,60.7,5,7.5,-1.6,14.1,12.5,1998
32,Charlotte,CUSA (American),20,11,73.6,68.2,5.48,6.72,7.81,4.4,12.21,1998
33,Massachusetts,A-10 (East),21,11,69.7,65,4.72,7.27,2.82,9.18,11.99,1998
34,Minnesota,Big Ten,20,15,72.3,68.7,3.63,8.32,5.94,6,11.95,1998
35,Syracuse,Big East (Big East 7),26,9,70.9,67,3.89,7.98,3.89,7.98,11.87,1998
36,Vanderbilt,SEC (East),20,13,74.8,70.2,4.67,7.01,7.98,3.7,11.68,1998
37,Princeton,Ivy,27,2,66.5,51.4,15.07,-3.6,-3.1,14.64,11.54,1998
38,St. John's (NY),Big East (Big East 6),22,10,72.9,68.2,4.75,6.76,5.28,6,11.28,1998
39,Hawaii,WAC (Pacific),21,9,77.6,70.8,6.83,4.38,6.06,5.15,11.22,1998
40,Tennessee,SEC (East),20,9,75.9,70.6,5.24,5.91,7.92,3.23,11.15,1998
41,Miami (FL),Big East (Big East 7),18,10,70.1,65.6,4.5,6.37,1.89,8.98,10.87,1998
42,NC State,ACC,17,15,64.4,62.1,2.31,8.53,-2.97,13.81,10.84,1998
43,Marquette,CUSA (American),20,11,65.3,60,5.29,5.26,-2.07,12.61,10.55,1998
44,Gonzaga,WCC,24,10,80.3,69.3,10.94,1.72,9.66,0.84,10.5,1998
